record_id,player_id,team_name,player_role,map_played,match_type,kills,assists,deaths,accuracy_percent,reaction_time_ms,fatigue_index,performance_score,win_probability,match_outcome,mvp_award,player_name,player_country,kd,rating,team_id,map_id,match_type_id,map_type,active_duty,best_of,match_date,date_year,date_month,date_quarter,date_day_of_week
22,115,NASR,IGL,Mirage,Group Stage,18,8,17,41.48,195.45,0.29,44.84,1,Win,No,Nami,United Arab Emirates,1.14,1.1,1,1,5,Bomb Defusal,1,1,27/05/2022,2022,5,2,Friday
23,264,Aperture,Rifler,Nuke,Group Stage,13,7,15,49.91,260.74,0.1,41.95,0.94,Win,No,Konvict,South Africa,1.11,1.07,2,4,5,Bomb Defusal,1,1,12/03/2024,2024,3,1,Tuesday
24,348,Triumph,IGL,Dust2,Qualifier,17,9,13,40.94,245.73,0.11,49.37,0.98,Win,No,penny,Canada,1.05,1.05,4,3,4,Bomb Defusal,1,1,31/12/2023,2023,12,4,Sunday
25,404,North,Rifler,Overpass,Playoff,15,4,12,44.13,232.05,0.29,41.16,0.88,Win,No,Kjaerbye,Denmark,1.08,1.04,5,5,1,Bomb Defusal,0,3,29/01/2023,2023,1,1,Sunday
26,281,mousesports,Rifler,Inferno,Playoff,25,9,12,48.66,256.01,0.9,62.33,1,Win,Yes,acoR,Denmark,1.12,1.06,4,2,1,Bomb Defusal,1,3,12/02/2024,2024,2,1,Monday
27,160,Chiefs,AWPer,Nuke,Group Stage,6,9,12,52.6,202.69,0.68,28.5,0.86,Win,No,BL1TZ,Australia,1.13,1.09,1,4,5,Bomb Defusal,1,1,30/10/2023,2023,10,4,Monday
28,375,Izako Boars,Rifler,Mirage,Semi-Final,14,4,11,56.81,216.56,0.41,45.3,1,Loss,No,NEEX,Poland,1.08,1.05,2,1,3,Bomb Defusal,1,3,03/05/2022,2022,5,2,Tuesday
29,126,Bren,IGL,Mirage,Group Stage,12,14,11,47.66,197.55,0.52,45.63,0.97,Win,No,witz,Philippines,1.17,1.1,4,1,5,Bomb Defusal,1,1,19/07/2023,2023,7,3,Wednesday
30,457,3DMAX,IGL,Inferno,Playoff,20,7,7,57.41,168.07,0.44,64.3,1,Win,Yes,Davidp,Belgium,1.08,1.03,3,2,1,Bomb Defusal,1,3,14/07/2023,2023,7,3,Friday
31,44,Secret fe,Rifler,Nuke,Semi-Final,21,12,8,44.02,217.74,0.13,66.71,1,Loss,Yes,zAAz,Sweden,1.16,1.13,6,4,3,Bomb Defusal,1,3,20/01/2022,2022,1,1,Thursday
32,116,ORDER,Rifler,Mirage,Qualifier,11,6,8,37.48,176.98,0.36,35.14,0.83,Win,No,Vexite,Australia,1.12,1.1,3,1,4,Bomb Defusal,1,1,21/03/2022,2022,3,1,Monday
33,99,forZe,Rifler,Nuke,Final,15,6,8,39.11,237.39,0.21,45.45,0.93,Win,No,zorte,Russia,1.19,1.11,3,4,2,Bomb Defusal,1,5,18/08/2023,2023,8,3,Friday
34,306,Spirit,Rifler,Mirage,Qualifier,16,8,9,26.58,195.68,0.38,40.49,0.81,Win,No,sdy,Ukraine,1.12,1.06,3,1,4,Bomb Defusal,1,1,26/06/2023,2023,6,2,Monday
35,490,Natus Vincere,Rifler,Inferno,Group Stage,11,10,6,56.17,180.71,0.57,48.39,0.84,Win,No,flamie,Russia,1.06,1.03,3,2,5,Bomb Defusal,1,1,19/07/2023,2023,7,3,Wednesday
36,4,paiN,IGL,Inferno,Group Stage,9,5,5,49.5,202.7,0.17,41.05,0.99,Win,No,saffee,Brazil,1.37,1.24,6,2,5,Bomb Defusal,1,1,06/12/2022,2022,12,4,Tuesday
37,468,Funky Monkeys,Entry Fragger,Dust2,Semi-Final,16,7,11,35.89,228.03,0.48,41.15,0.85,Win,No,waffe,Australia,1.05,1.03,5,3,3,Bomb Defusal,1,3,07/12/2023,2023,12,4,Thursday
38,316,Fam143,IGL,Overpass,Final,13,9,6,45.38,222.6,0.57,45.99,0.94,Win,No,opportunity,United States,1.05,1.06,4,5,2,Bomb Defusal,0,5,27/10/2023,2023,10,4,Friday
39,130,Gambit,IGL,Mirage,Group Stage,19,9,13,39.59,153.09,0.3,50.8,1,Win,No,Ax1Le,Russia,1.16,1.1,1,1,5,Bomb Defusal,1,1,06/08/2022,2022,8,3,Saturday
40,133,eUnited,IGL,Dust2,Semi-Final,12,9,11,58.41,225.46,0.15,49.7,1,Win,No,moose,Canada,1.16,1.1,6,3,3,Bomb Defusal,1,3,22/04/2023,2023,4,2,Saturday
41,16,Space Soldiers,Entry Fragger,Overpass,Semi-Final,13,7,14,55.3,206.66,0.15,45.15,1,Win,No,XANTARES,Turkey,1.2,1.17,2,5,3,Bomb Defusal,0,3,02/02/2023,2023,2,1,Thursday
42,216,Galaxy Racer fe,Rifler,Dust2,Final,18,10,11,37.62,213.91,0.87,45.11,0.96,Win,No,KllyVe,Belgium,1.1,1.07,4,3,2,Bomb Defusal,1,5,27/10/2023,2023,10,4,Friday
43,23,Astralis,Rifler,Mirage,Playoff,22,11,6,45.45,252.83,0.59,65.82,1,Win,Yes,device,Denmark,1.25,1.16,3,1,1,Bomb Defusal,1,3,16/02/2022,2022,2,1,Wednesday
44,306,Spirit,IGL,Nuke,Group Stage,13,3,15,43.93,258.1,0.45,31.47,0.73,Win,No,sdy,Ukraine,1.12,1.06,3,4,5,Bomb Defusal,1,1,26/02/2023,2023,2,1,Sunday
45,22,SK,AWPer,Mirage,Qualifier,11,8,12,38.61,215.06,1,27.3,1,Win,No,coldzera,Brazil,1.26,1.16,6,1,4,Bomb Defusal,1,1,06/10/2022,2022,10,4,Thursday
46,279,iBUYPOWER,AWPer,Dust2,Final,8,4,10,45.47,261.66,0.44,28.34,0.52,Loss,No,DaZeD,United States,1.1,1.06,1,3,2,Bomb Defusal,1,5,08/07/2024,2024,7,3,Monday
47,108,MVP PK,Entry Fragger,Overpass,Group Stage,14,8,6,44.29,220.9,0.22,49.94,1,Win,No,xeta,Korea,1.16,1.1,4,5,5,Bomb Defusal,0,1,30/12/2022,2022,12,4,Friday
48,72,Rooster,Entry Fragger,Overpass,Group Stage,19,9,8,35.97,229.78,0.42,52.78,0.9,Win,No,asap,Australia,1.15,1.12,4,5,5,Bomb Defusal,0,1,19/07/2023,2023,7,3,Wednesday
49,7,ViCi,Rifler,Dust2,Playoff,13,10,14,45.91,224.51,0.43,40.66,1,Win,No,Kaze,Malaysia,1.32,1.2,2,3,1,Bomb Defusal,1,3,17/03/2022,2022,3,1,Thursday
50,340,North,Rifler,Dust2,Qualifier,12,7,11,50.38,280.17,0.83,36.89,0.94,Win,No,cajunb,Denmark,1.1,1.05,4,3,4,Bomb Defusal,1,1,25/05/2023,2023,5,2,Thursday
51,439,GamerLegion,Rifler,Mirage,Group Stage,11,11,5,40.11,177.8,0.29,45.16,1,Win,No,eraa,Sweden,1.06,1.04,2,1,5,Bomb Defusal,1,1,10/09/2022,2022,9,3,Saturday
52,410,Mineski,Rifler,Dust2,Final,12,7,11,37.93,209.43,0.08,38.17,0.91,Loss,No,DubsteP,Philippines,1.07,1.04,4,3,2,Bomb Defusal,1,5,12/10/2022,2022,10,4,Wednesday
53,112,Singularity,AWPer,Nuke,Final,18,9,15,44.4,238.62,0.19,50.3,1,Win,No,zEptonL,Denmark,1.12,1.1,5,4,2,Bomb Defusal,1,5,04/10/2023,2023,10,4,Wednesday
54,357,New4,AWPer,Inferno,Qualifier,17,9,10,45.96,206.04,0.83,47.68,1,Win,No,Mr.six,China,1.04,1.05,2,2,4,Bomb Defusal,1,1,21/05/2022,2022,5,2,Saturday
55,210,Endpoint,IGL,Inferno,Playoff,12,5,10,53.25,175.43,0.89,36.73,0.73,Win,No,CRUC1AL,Netherlands,1.12,1.08,6,2,1,Bomb Defusal,1,3,10/04/2022,2022,4,2,Sunday
56,374,Rogue,Entry Fragger,Inferno,Playoff,13,10,8,49.68,189.88,0.04,52.44,0.95,Win,No,SicK,United States,1.07,1.05,6,2,1,Bomb Defusal,1,3,25/05/2024,2024,5,2,Saturday
57,120,FunPlus Phoenix,Entry Fragger,Nuke,Final,14,10,16,47.31,293.66,0.23,43.36,0.88,Win,No,Farlig,Denmark,1.16,1.1,1,4,2,Bomb Defusal,1,5,23/02/2022,2022,2,1,Wednesday
58,469,Spirit Academy,IGL,Dust2,Playoff,11,10,13,40.21,226.09,0.59,33.21,0.68,Win,No,Patsi,Russia,1.04,1.03,3,3,1,Bomb Defusal,1,3,25/08/2023,2023,8,3,Friday
59,20,Akuma,IGL,Nuke,Final,16,10,9,44.73,273.84,0.08,54.56,1,Win,No,SENSEi,Ukraine,1.33,1.16,5,4,2,Bomb Defusal,1,5,28/08/2022,2022,8,3,Sunday
60,188,RONIN,Rifler,Nuke,Final,15,17,6,36.51,199.31,0.82,51.05,1,Win,No,REOVA,Turkey,1.14,1.08,2,4,2,Bomb Defusal,1,5,22/11/2022,2022,11,4,Tuesday
61,65,MIBR,Rifler,Nuke,Final,19,5,11,42.54,226.57,0.76,45.67,1,Win,No,kNgV-,Brazil,1.17,1.12,5,4,2,Bomb Defusal,1,5,01/06/2023,2023,6,2,Thursday
62,154,Echo Fox,IGL,Mirage,Group Stage,13,7,11,45.38,205.6,0.87,35.99,0.87,Win,No,ryx,United States,1.14,1.09,1,1,5,Bomb Defusal,1,1,16/08/2023,2023,8,3,Wednesday
63,186,ENCE,Rifler,Dust2,Playoff,18,3,10,40.56,276.43,0.27,46.58,0.84,Win,No,sergej,Finland,1.14,1.08,1,3,1,Bomb Defusal,1,3,08/04/2023,2023,4,2,Saturday
64,254,ALTERNATE aTTaX,IGL,Overpass,Playoff,11,10,15,43.58,182.45,0.86,30.19,0.95,Win,No,Krimbo,Germany,1.11,1.07,5,5,1,Bomb Defusal,0,3,10/05/2023,2023,5,2,Wednesday
65,468,Funky Monkeys,Rifler,Mirage,Group Stage,11,10,5,39.59,274.03,0.2,44.8,0.87,Win,No,waffe,Australia,1.05,1.03,3,1,5,Bomb Defusal,1,1,04/03/2023,2023,3,1,Saturday
66,86,mousesports,Rifler,Dust2,Qualifier,16,4,9,44.89,172.48,0.69,42.55,1,Win,No,dexter,Australia,1.16,1.11,2,3,4,Bomb Defusal,1,1,14/03/2022,2022,3,1,Monday
67,347,Invictus,AWPer,Nuke,Semi-Final,9,6,8,43.02,199.54,0.03,37.21,0.85,Win,No,bottle,China,1.06,1.05,2,4,3,Bomb Defusal,1,3,25/03/2022,2022,3,1,Friday
68,87,Lucid Dream,Rifler,Dust2,Final,10,7,16,39.14,274.36,0.87,21.87,0.75,Win,No,PTC,Thailand,1.18,1.11,5,3,2,Bomb Defusal,1,5,09/02/2024,2024,2,1,Friday
69,20,Akuma,Rifler,Inferno,Final,13,8,4,36.75,204.12,0.79,40.48,0.9,Loss,No,SENSEi,Ukraine,1.33,1.16,2,2,2,Bomb Defusal,1,5,12/12/2023,2023,12,4,Tuesday
70,97,HAVU,AWPer,Overpass,Final,16,7,7,62.14,231.98,0.74,55.67,1,Win,No,ottoNd,Finland,1.19,1.11,2,5,2,Bomb Defusal,0,5,12/05/2022,2022,5,2,Thursday
71,409,Heroic,IGL,Mirage,Qualifier,14,11,7,56.01,243.31,0.13,58.7,1,Win,No,stavn,Denmark,1.06,1.04,5,1,4,Bomb Defusal,1,1,28/11/2022,2022,11,4,Monday
72,282,Tainted Minds,Rifler,Nuke,Group Stage,11,10,7,47.09,253.23,0.13,47.25,0.9,Win,No,ofnu,New Zealand,1.1,1.06,5,4,5,Bomb Defusal,1,1,20/03/2022,2022,3,1,Sunday
73,491,Renegades,Entry Fragger,Overpass,Group Stage,26,6,7,38.29,235.62,0.17,68.44,1,Win,Yes,yam,Australia,1.07,1.03,2,5,5,Bomb Defusal,0,1,17/10/2022,2022,10,4,Monday
74,368,Complexity,Entry Fragger,Nuke,Final,16,4,16,61.61,216.07,0.93,41.5,0.81,Win,No,yay,United States,1.05,1.05,3,4,2,Bomb Defusal,1,5,09/06/2024,2024,6,2,Sunday
75,354,Lynn Vision,Rifler,Nuke,Final,13,4,17,43.93,252.58,0.52,29.77,1,Win,No,Westmelon,China,1.05,1.05,5,4,2,Bomb Defusal,1,5,17/04/2023,2023,4,2,Monday
76,395,Spirit Academy,Rifler,Overpass,Playoff,10,9,10,43.88,226.03,0.03,40.64,1,Win,No,rommi,Russia,1.06,1.05,6,5,1,Bomb Defusal,0,3,22/01/2023,2023,1,1,Sunday
77,12,3DMAX,AWPer,Overpass,Qualifier,22,8,11,43.05,248.92,0.33,59.23,1,Win,No,cLy,Germany,1.26,1.18,6,5,4,Bomb Defusal,0,1,29/03/2024,2024,3,1,Friday
78,26,Renegades,IGL,Inferno,Group Stage,14,3,9,49.56,193.45,0.45,42.28,1,Win,No,Sico,New Zealand,1.3,1.16,2,2,5,Bomb Defusal,1,1,17/04/2024,2024,4,2,Wednesday
79,137,BIG,Rifler,Overpass,Final,12,8,10,35.75,174.02,0.4,35.88,0.96,Loss,No,syrsoN,Germany,1.16,1.09,3,5,2,Bomb Defusal,0,5,08/06/2022,2022,6,2,Wednesday
80,352,Smoke Criminals,Rifler,Mirage,Playoff,16,5,8,64.52,169.21,0.28,58.46,1,Win,No,lainNy,Latvia,1.05,1.05,3,1,1,Bomb Defusal,1,3,13/10/2022,2022,10,4,Thursday
81,426,Alpha Red,IGL,Overpass,Group Stage,13,7,12,59.77,226.67,0.11,49.79,0.84,Win,No,Kntz,Thailand,1.08,1.04,2,5,5,Bomb Defusal,0,1,06/06/2023,2023,6,2,Tuesday
82,210,Endpoint,Entry Fragger,Mirage,Final,25,9,11,48.52,182.68,0.78,64.46,1,Win,Yes,CRUC1AL,Netherlands,1.12,1.08,4,1,2,Bomb Defusal,1,5,08/06/2022,2022,6,2,Wednesday
83,467,ENCE,Rifler,Inferno,Semi-Final,12,9,5,54.8,268.7,0.55,49.9,0.94,Win,No,juho,Finland,1.02,1.03,3,2,3,Bomb Defusal,1,3,31/05/2023,2023,5,2,Wednesday
84,63,Latvia,Entry Fragger,Overpass,Semi-Final,16,9,12,34.04,208.63,0.09,45.12,0.93,Win,No,prelideN,Latvia,1.09,1.12,2,5,3,Bomb Defusal,0,3,27/01/2024,2024,1,1,Saturday
85,481,AVANT,IGL,Inferno,Group Stage,21,5,13,53.25,223.26,0.65,54.12,0.84,Win,No,zedzke,Australia,1.05,1.03,6,2,5,Bomb Defusal,1,1,27/07/2022,2022,7,3,Wednesday
86,271,Bravos,IGL,Nuke,Playoff,13,10,10,47.99,267.5,0.35,46.5,0.93,Win,No,JOTA,Brazil,1.11,1.06,1,4,1,Bomb Defusal,1,3,28/03/2024,2024,3,1,Thursday
87,363,ATK,Rifler,Inferno,Semi-Final,17,10,13,49.03,237.47,0.71,48.41,0.91,Win,No,Domsterr,South Africa,1.1,1.05,2,2,3,Bomb Defusal,1,3,06/06/2022,2022,6,2,Monday
88,180,Imperial,Rifler,Nuke,Group Stage,9,12,13,34.35,237.05,0.3,31.17,0.87,Win,No,nukkye,Lithuania,1.13,1.08,4,4,5,Bomb Defusal,1,1,15/02/2023,2023,2,1,Wednesday
89,417,Tainted Minds,Entry Fragger,Mirage,Group Stage,8,12,10,42.03,190.23,0.07,38.31,0.89,Win,No,zewsy,New Zealand,1.06,1.04,5,1,5,Bomb Defusal,1,1,28/03/2022,2022,3,1,Monday
90,403,K23,AWPer,Overpass,Qualifier,13,7,13,49.24,224.46,0.98,34.82,0.81,Win,No,n0rb3r7,Russia,1.04,1.04,2,5,4,Bomb Defusal,0,1,28/07/2022,2022,7,3,Thursday
91,56,Rugratz,IGL,Overpass,Final,12,4,13,52.6,175.45,0.53,36,0.76,Win,No,huNter,Bosnia and Herzegovina,1.16,1.13,6,5,2,Bomb Defusal,0,5,06/04/2022,2022,4,2,Wednesday
92,248,INTZ,Entry Fragger,Dust2,Final,20,6,9,43.33,203.61,0.54,53.27,1,Win,No,xand,Brazil,1.1,1.07,2,3,2,Bomb Defusal,1,5,18/03/2023,2023,3,1,Saturday
93,70,forZe,AWPer,Overpass,Playoff,11,9,10,54.35,194.11,0.48,43.38,0.8,Win,No,liTTle,Russia,1.2,1.12,2,5,1,Bomb Defusal,0,3,26/05/2024,2024,5,2,Sunday
94,75,SJ,Rifler,Mirage,Semi-Final,14,10,11,32.09,228.3,0.61,36.95,0.95,Win,No,Jamppi,Finland,1.16,1.12,3,1,3,Bomb Defusal,1,3,21/07/2023,2023,7,3,Friday
95,426,Alpha Red,Entry Fragger,Dust2,Final,8,5,12,34.22,190.85,0.35,22.61,0.79,Win,No,Kntz,Thailand,1.08,1.04,3,3,2,Bomb Defusal,1,5,28/02/2024,2024,2,1,Wednesday
96,105,Entity,Rifler,Dust2,Semi-Final,11,4,8,54.26,177.35,0.21,43.03,1,Win,No,DeathMakeR,India,1.13,1.11,5,3,3,Bomb Defusal,1,3,22/01/2023,2023,1,1,Sunday
97,35,DETONA,Entry Fragger,Overpass,Qualifier,10,13,7,31.1,161.56,0.61,35.45,0.83,Win,No,vsm,Brazil,1.19,1.15,5,5,4,Bomb Defusal,0,1,19/07/2022,2022,7,3,Tuesday
98,282,Tainted Minds,AWPer,Inferno,Group Stage,12,14,6,42.79,244.38,0.21,51.29,1,Win,No,ofnu,New Zealand,1.1,1.06,2,2,5,Bomb Defusal,1,1,03/01/2023,2023,1,1,Tuesday
99,220,EXTREMUM,Rifler,Mirage,Semi-Final,15,12,7,55.3,207.32,0.2,60.65,1,Win,Yes,Liazz,Australia,1.14,1.07,1,1,3,Bomb Defusal,1,3,25/02/2023,2023,2,1,Saturday
100,122,paiN,AWPer,Inferno,Qualifier,16,5,12,48.16,216.37,0.33,45.78,1,Win,No,biguzera,Brazil,1.16,1.1,3,2,4,Bomb Defusal,1,1,30/05/2022,2022,5,2,Monday
101,169,Infinity,Rifler,Nuke,Playoff,10,10,11,40.59,296.75,0.64,32.9,0.84,Win,No,tor1towOw,Peru,1.11,1.09,1,4,1,Bomb Defusal,1,3,26/08/2023,2023,8,3,Saturday
102,79,Rooster,IGL,Nuke,Qualifier,16,7,8,39.5,248.43,0.52,45.55,1,Win,No,chelleos,New Zealand,1.13,1.12,2,4,4,Bomb Defusal,1,1,01/06/2022,2022,6,2,Wednesday
103,26,Renegades,AWPer,Nuke,Group Stage,14,9,11,43.19,191.22,0.84,39.2,1,Win,No,Sico,New Zealand,1.3,1.16,4,4,5,Bomb Defusal,1,1,05/01/2024,2024,1,1,Friday
104,497,Movistar Riders,Entry Fragger,Overpass,Qualifier,16,3,14,29.5,163.12,0.94,26.35,0.78,Win,No,alex,Spain,1.06,1.03,6,5,4,Bomb Defusal,0,1,21/01/2022,2022,1,1,Friday
105,97,HAVU,Entry Fragger,Nuke,Semi-Final,12,7,12,58.29,206.29,0.77,40.44,0.94,Loss,No,ottoNd,Finland,1.19,1.11,1,4,3,Bomb Defusal,1,3,25/06/2024,2024,6,2,Tuesday
106,359,Spirit,Rifler,Nuke,Semi-Final,10,5,7,36.22,210.89,0.78,28.31,0.94,Win,No,DavCost,Russia,1.09,1.05,1,4,3,Bomb Defusal,1,3,05/01/2024,2024,1,1,Friday
107,480,mouz NXT,AWPer,Overpass,Semi-Final,8,3,10,50.89,211.56,0.02,34.24,0.87,Win,No,Szejn,Poland,1.03,1.03,3,5,3,Bomb Defusal,0,3,17/09/2022,2022,9,3,Saturday
108,262,Nemiga,Entry Fragger,Nuke,Final,7,11,6,45.7,238.99,0.56,36.25,0.82,Win,No,iDISBALANCE,Russia,1.14,1.07,3,4,2,Bomb Defusal,1,5,24/05/2022,2022,5,2,Tuesday
109,347,Invictus,AWPer,Nuke,Semi-Final,15,7,10,49.95,281.72,0.06,51.38,1,Win,No,bottle,China,1.06,1.05,5,4,3,Bomb Defusal,1,3,21/10/2022,2022,10,4,Friday
110,237,Sangal,Rifler,Overpass,Semi-Final,14,7,14,45.46,229.52,0.77,36.03,0.86,Win,No,paz,Turkey,1.11,1.07,2,5,3,Bomb Defusal,0,3,09/02/2023,2023,2,1,Thursday
111,53,OG,AWPer,Dust2,Semi-Final,15,10,13,54.51,236.1,0.4,50.25,1,Win,No,mantuu,Poland,1.21,1.13,1,3,3,Bomb Defusal,1,3,04/05/2024,2024,5,2,Saturday
112,285,Signature,IGL,Nuke,Final,10,8,6,51.82,197.93,0.88,39.11,0.91,Win,No,j9,Thailand,1.05,1.06,3,4,2,Bomb Defusal,1,5,18/05/2023,2023,5,2,Thursday
113,228,SK,Entry Fragger,Overpass,Final,19,9,11,49.64,229.77,0.08,60.02,1,Win,Yes,FalleN,Brazil,1.16,1.07,4,5,2,Bomb Defusal,0,5,11/02/2022,2022,2,1,Friday
114,49,Sharks,Rifler,Dust2,Playoff,15,10,5,49.77,208.25,0.45,55.39,0.96,Win,No,zevy,Brazil,1.21,1.13,4,3,1,Bomb Defusal,1,3,11/09/2022,2022,9,3,Sunday
115,297,KOVA,Entry Fragger,Mirage,Semi-Final,18,10,8,46.01,278.17,0.31,57.9,1,Win,No,Derkeps,Finland,1.04,1.06,1,1,3,Bomb Defusal,1,3,25/10/2022,2022,10,4,Tuesday
116,100,NASR,Rifler,Inferno,Final,18,10,21,34.47,203.94,0.74,34.84,0.84,Win,No,havoK,India,1.14,1.11,3,2,2,Bomb Defusal,1,5,01/05/2024,2024,5,2,Wednesday
117,81,Liquid,IGL,Dust2,Playoff,22,10,14,47.94,275.15,0.1,62.97,0.94,Win,Yes,Twistzz,Canada,1.18,1.11,5,3,1,Bomb Defusal,1,3,10/09/2022,2022,9,3,Saturday
118,194,Binary Dragons,Entry Fragger,Dust2,Semi-Final,16,9,7,42.63,222.49,1,45.31,0.91,Win,No,DJOXiC,Serbia,1.15,1.08,6,3,3,Bomb Defusal,1,3,06/01/2024,2024,1,1,Saturday
119,301,AGO,IGL,Inferno,Group Stage,20,5,14,23.37,240.34,0.32,39.48,1,Win,No,snatchie,Poland,1.08,1.06,3,2,5,Bomb Defusal,1,1,23/10/2022,2022,10,4,Sunday
120,335,Havan Liberty,AWPer,Mirage,Playoff,16,9,11,42.18,288.73,0.07,50.39,1,Win,No,remix,Brazil,1.08,1.05,5,1,1,Bomb Defusal,1,3,19/06/2023,2023,6,2,Monday
121,478,Ghost,Rifler,Mirage,Group Stage,12,5,10,32.96,242.8,0.21,33.38,0.81,Loss,No,Subroza,Canada,1.03,1.03,3,1,5,Bomb Defusal,1,1,03/04/2022,2022,4,2,Sunday
122,104,Party Astronauts,Rifler,Mirage,Group Stage,5,9,8,45.05,219.44,0.7,26.52,0.87,Win,No,Infinite,United States,1.14,1.11,6,1,5,Bomb Defusal,1,1,10/06/2023,2023,6,2,Saturday
123,370,Triumph,Rifler,Dust2,Qualifier,12,9,11,57.9,246.91,0.11,49.85,0.92,Win,No,3ARK00Z,Jordan,1.05,1.05,5,3,4,Bomb Defusal,1,1,23/02/2022,2022,2,1,Wednesday
